name,github_link,repo_count,star_total,score
vnpy,https://github.com/vnpy,1,31060,31065
microsoft,https://github.com/microsoft,1,27436,27441
quantopian,https://github.com/quantopian,1,18720,18725
bbfamily,https://github.com/bbfamily,1,14247,14252
akfamily,https://github.com/akfamily,1,12650,12655
yutiansut,https://github.com/yutiansut,1,9038,9043
firmai,https://github.com/firmai,1,8011,8016
je-suis-tm,https://github.com/je-suis-tm,1,7711,7716
Rockyzsu,https://github.com/Rockyzsu,1,6524,6529
BigBrotherTrade,https://github.com/BigBrotherTrade,1,6421,6426
ReaVNaiL,https://github.com/ReaVNaiL,1,6330,6335
